transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
04/02/2025 10:00:00 AM,subway,82,"104 St (J,Z)",Queens,omny,OMNY - Other,2,0,40.69518,-73.84433,POINT (-73.84433 40.69518)
04/02/2025 11:00:00 AM,subway,254,Jamaica-179 St (F),Queens,omny,OMNY - Other,8,1,40.712646,-73.78381,POINT (-73.78381 40.712646)
04/02/2025 11:00:00 AM,subway,75,20 Av (N),Brooklyn,omny,OMNY - Other,3,0,40.61741,-73.98502,POINT (-73.98502 40.61741)
04/02/2025 02:00:00 PM,subway,428,"174 St (2,5)",Bronx,omny,OMNY - Fair Fare,2,1,40.837288,-73.88773,POINT (-73.88773 40.837288)
04/02/2025 03:00:00 PM,subway,6,"39 Av-Dutch Kills (N,W)",Queens,omny,OMNY - Other,1,0,40.75288,-73.932755,POINT (-73.932755 40.75288)
04/02/2025 05:00:00 PM,subway,388,167 St (4),Bronx,omny,OMNY - Full Fare,117,7,40.835537,-73.9214,POINT (-73.9214 40.835537)
04/02/2025 09:00:00 PM,subway,217,"170 St (B,D)",Bronx,omny,OMNY - Students,4,0,40.839306,-73.9134,POINT (-73.9134 40.839306)
04/02/2025 01:00:00 AM,subway,385,176 St (4),Bronx,omny,OMNY - Full Fare,3,0,40.84848,-73.9118,POINT (-73.9118 40.84848)
04/02/2025 01:00:00 AM,subway,67,20 Av (D),Brooklyn,omny,OMNY - Students,1,0,40.604557,-73.99817,POINT (-73.99817 40.604557)
04/02/2025 09:00:00 AM,subway,319,28 St (1),Manhattan,omny,OMNY - Fair Fare,1,0,40.747215,-73.99336,POINT (-73.99336 40.747215)
04/02/2025 11:00:00 AM,subway,94,Halsey St (J),Brooklyn,omny,OMNY - Fair Fare,2,0,40.68637,-73.91656,POINT (-73.91656 40.68637)
04/02/2025 12:00:00 PM,subway,387,170 St (4),Bronx,omny,OMNY - Other,2,0,40.840076,-73.91779,POINT (-73.91779 40.840076)
04/02/2025 02:00:00 PM,subway,215,"Tremont Av (B,D)",Bronx,omny,OMNY - Students,36,4,40.85041,-73.90523,POINT (-73.90523 40.85041)
04/02/2025 04:00:00 PM,subway,154,"116 St (C,B)",Manhattan,omny,OMNY - Fair Fare,4,0,40.805084,-73.95488,POINT (-73.95488 40.805084)
04/02/2025 04:00:00 PM,subway,64,71 St (D),Brooklyn,omny,OMNY - Full Fare,46,2,40.61959,-73.99886,POINT (-73.99886 40.61959)
04/02/2025 05:00:00 PM,subway,369,Elder Av (6),Bronx,omny,OMNY - Students,32,0,40.828583,-73.87916,POINT (-73.87916 40.828583)
04/02/2025 06:00:00 PM,subway,298,207 St (1),Manhattan,omny,OMNY - Other,2,1,40.86462,-73.91882,POINT (-73.91882 40.86462)
